Name: PixelCNN-DS-DEBUG
Factorised: False
Learning rate: 0.001

         Train  Validation
287   0.250494         NaN
288   0.255762         NaN
289   0.241682         NaN
290   0.269909         NaN
291   0.268703         NaN
292   0.261380         NaN
293   0.259727         NaN
294   0.258951         NaN
295   0.266587         NaN
296   0.235285         NaN
297   0.256008         NaN
298   0.237356         NaN
299   0.242980         NaN
300   0.267905    0.254080
301   0.268539         NaN
302   0.262325         NaN
303   0.256372         NaN
304   0.251646         NaN
305   0.244618         NaN
306   0.257663         NaN
307   0.231918         NaN
308   0.239493         NaN
309   0.262082         NaN
310   0.245401         NaN
311   0.249864         NaN
312   0.261367         NaN
313   0.254156         NaN
314   0.248571         NaN
315   0.241664         NaN
316   0.252865         NaN
317   0.250953         NaN
318   0.243841         NaN
319   0.241544         NaN
320   0.239029         NaN
321   0.250955         NaN
322   0.255181         NaN
323   0.248555         NaN
324   0.250295         NaN
325   0.269036         NaN
326   0.253035         NaN
327   0.253434         NaN
328   0.234760         NaN
329   0.276452         NaN
330   0.257220         NaN
331   0.296543         NaN
332   0.268852         NaN
333   0.275905         NaN
334   0.247341         NaN
335   0.263110         NaN
336   0.267654         NaN
337   0.267792         NaN
338   0.260576         NaN
339   0.247819         NaN
340   0.251193         NaN
341   0.272843         NaN
342   0.247836         NaN
343   0.249949         NaN
344   0.265181         NaN
345   0.263651         NaN
346   0.266406         NaN
347   0.253097         NaN
348   0.239062         NaN
349   0.245858         NaN
350   0.248317         NaN
351   0.234215         NaN
352   0.249071         NaN
353   0.244269         NaN
354   0.252654         NaN
355   0.262308         NaN
356   0.246394         NaN
357   0.266018         NaN
358   0.231401         NaN
359   0.254640         NaN
360   0.238858         NaN
361   0.239454         NaN
362   0.256489         NaN
363   0.245542         NaN
364   0.246338         NaN
365   0.265368         NaN
366   0.281638         NaN
367   0.242000         NaN
368   0.267206         NaN
369   0.265541         NaN
370   0.243304         NaN
371   0.267122         NaN
372   0.259609         NaN
373   0.271548         NaN
374   0.264880         NaN
375   0.243041         NaN
376   0.237433         NaN
377   0.220645         NaN
378   0.247775         NaN
379   0.245355         NaN
380   0.245877         NaN
381   0.238849         NaN
382   0.256418         NaN
383   0.250244         NaN
384   0.225576         NaN
385   0.243782         NaN
386   0.263661         NaN
387   0.236975         NaN
388   0.257015         NaN
389   0.252174         NaN
390   0.233884         NaN
391   0.249267         NaN
392   0.232716         NaN
393   0.238821         NaN
394   0.272456         NaN
395   0.253367         NaN
396   0.269837         NaN
397   0.280882         NaN
398   0.249100         NaN
399   0.261157         NaN
400   0.261155    0.242302
401   0.244710         NaN
402   0.249613         NaN
403   0.272605         NaN
404   0.242883         NaN
405   0.239636         NaN
406   0.255280         NaN
407   0.229108         NaN
408   0.229335         NaN
409   0.242886         NaN
410   0.245323         NaN
411   0.244840         NaN
412   0.225792         NaN
413   0.222879         NaN
414   0.238674         NaN
415   0.229217         NaN
416   0.227320         NaN
417   0.245511         NaN
418   0.238278         NaN
419   0.218408         NaN
420   0.226727         NaN
421   0.232116         NaN
422   0.236211         NaN
423   0.249143         NaN
424   0.220600         NaN
425   0.226224         NaN
426   0.236043         NaN
427   0.235571         NaN
428   0.228498         NaN
429   0.237056         NaN
430   0.217569         NaN
431   0.227365         NaN
432   0.229329         NaN
433   0.234873         NaN
434   0.223600         NaN
435   0.221654         NaN
436   0.234629         NaN
437   0.222090         NaN
438   0.218297         NaN
439   0.233698         NaN
440   0.227293         NaN
441   0.227598         NaN
442   0.219818         NaN
443   0.230957         NaN
444   0.211330         NaN
445   0.233751         NaN
446   0.232270         NaN
447   0.227985         NaN
448   0.219187         NaN
449   0.224268         NaN
450   0.221649         NaN
451   0.217520         NaN
452   0.227303         NaN
453   0.237134         NaN
454   0.222387         NaN
455   0.210782         NaN
456   0.210700         NaN
457   0.227077         NaN
458   0.212962         NaN
459   0.225831         NaN
460   0.214330         NaN
