<pixelCNNMADE.PixelCNNMADE object at 0x7fb875860710>
         Train  Validation
287   0.327627         NaN
288   0.326443         NaN
289   0.305664         NaN
290   0.332009         NaN
291   0.326582         NaN
292   0.327316         NaN
293   0.319511         NaN
294   0.319914         NaN
295   0.326074         NaN
296   0.295502         NaN
297   0.324329         NaN
298   0.298635         NaN
299   0.294236         NaN
300   0.325238    0.315554
301   0.338242         NaN
302   0.332591         NaN
303   0.317345         NaN
304   0.322265         NaN
305   0.313026         NaN
306   0.324002         NaN
307   0.286600         NaN
308   0.307220         NaN
309   0.319342         NaN
310   0.300172         NaN
311   0.312494         NaN
312   0.333248         NaN
313   0.313651         NaN
314   0.306037         NaN
315   0.294277         NaN
316   0.312586         NaN
317   0.303213         NaN
318   0.300910         NaN
319   0.297121         NaN
320   0.287620         NaN
321   0.311664         NaN
322   0.320533         NaN
323   0.296188         NaN
324   0.312872         NaN
325   0.328630         NaN
326   0.301337         NaN
327   0.285173         NaN
328   0.300079         NaN
329   0.338308         NaN
330   0.295567         NaN
331   0.316981         NaN
332   0.291796         NaN
333   0.299163         NaN
334   0.287428         NaN
335   0.301499         NaN
336   0.317734         NaN
337   0.300185         NaN
338   0.286847         NaN
339   0.278747         NaN
340   0.293453         NaN
341   0.314229         NaN
342   0.281883         NaN
343   0.278282         NaN
344   0.310004         NaN
345   0.305913         NaN
346   0.309531         NaN
347   0.284321         NaN
348   0.281156         NaN
349   0.283333         NaN
350   0.288574         NaN
351   0.282995         NaN
352   0.288657         NaN
353   0.275313         NaN
354   0.322855         NaN
355   0.302516         NaN
356   0.319327         NaN
357   0.349714         NaN
358   0.304942         NaN
359   0.305866         NaN
360   0.306738         NaN
361   0.326183         NaN
362   0.312828         NaN
363   0.292119         NaN
364   0.312211         NaN
365   0.299381         NaN
366   0.312621         NaN
367   0.318655         NaN
368   0.340330         NaN
369   0.311862         NaN
370   0.302733         NaN
371   0.329991         NaN
372   0.326596         NaN
373   0.332405         NaN
374   0.315209         NaN
375   0.290136         NaN
376   0.298329         NaN
377   0.275943         NaN
378   0.299023         NaN
379   0.308927         NaN
380   0.294341         NaN
381   0.281071         NaN
382   0.318021         NaN
383   0.306597         NaN
384   0.268437         NaN
385   0.287577         NaN
386   0.305813         NaN
387   0.277654         NaN
388   0.284689         NaN
389   0.288390         NaN
390   0.268941         NaN
391   0.282646         NaN
392   0.262977         NaN
393   0.280921         NaN
394   0.305446         NaN
395   0.286862         NaN
396   0.287671         NaN
397   0.294993         NaN
398   0.291223         NaN
399   0.274100         NaN
400   0.267546    0.272533
401   0.276182         NaN
402   0.274003         NaN
403   0.284391         NaN
404   0.262466         NaN
405   0.264386         NaN
406   0.287182         NaN
407   0.262940         NaN
408   0.259608         NaN
409   0.273771         NaN
410   0.287413         NaN
411   0.274870         NaN
412   0.261868         NaN
413   0.254470         NaN
414   0.271924         NaN
415   0.266495         NaN
416   0.251067         NaN
417   0.288235         NaN
418   0.274539         NaN
419   0.253545         NaN
420   0.260646         NaN
421   0.276586         NaN
422   0.273622         NaN
423   0.288913         NaN
424   0.252730         NaN
425   0.261698         NaN
426   0.263771         NaN
427   0.296750         NaN
428   0.263762         NaN
429   0.298703         NaN
430   0.279827         NaN
431   0.258665         NaN
432   0.295219         NaN
433   0.289102         NaN
434   0.274802         NaN
435   0.253621         NaN
436   0.282186         NaN
437   0.271049         NaN
438   0.267513         NaN
439   0.280175         NaN
440   0.263813         NaN
441   0.273996         NaN
442   0.266840         NaN
443   0.280369         NaN
444   0.251931         NaN
445   0.299292         NaN
446   0.291729         NaN
447   0.268111         NaN
448   0.257519         NaN
449   0.270200         NaN
450   0.263807         NaN
451   0.257825         NaN
452   0.265212         NaN
453   0.286080         NaN
454   0.270009         NaN
455   0.252405         NaN
456   0.252598         NaN
457   0.263297         NaN
458   0.257437         NaN
459   0.259826         NaN
460   0.272015         NaN
461   0.281093         NaN
462   0.262177         NaN
463   0.272646         NaN
464   0.269408         NaN
465   0.256837         NaN
466   0.246886         NaN
467   0.236643         NaN
468   0.257844         NaN
469   0.259125         NaN
470   0.258509         NaN
471   0.250373         NaN
472   0.239893         NaN
473   0.253354         NaN
474   0.260055         NaN
475   0.259013         NaN
476   0.257529         NaN
477   0.274981         NaN
478   0.263732         NaN
479   0.250811         NaN
480   0.263351         NaN
481   0.268768         NaN
482   0.281330         NaN
483   0.263123         NaN
484   0.245256         NaN
485   0.261142         NaN
486   0.269223         NaN
487   0.258526         NaN
488   0.248621         NaN
489   0.251744         NaN
490   0.241410         NaN
491   0.260993         NaN
492   0.262347         NaN
493   0.255958         NaN
