<pixelCNNMADE.PixelCNNMADE object at 0x7f78092622b0>
         Train  Validation
287   0.306744         NaN
288   0.304138         NaN
289   0.306443         NaN
290   0.327282         NaN
291   0.323349         NaN
292   0.321622         NaN
293   0.292892         NaN
294   0.288572         NaN
295   0.314417         NaN
296   0.270481         NaN
297   0.315152         NaN
298   0.282814         NaN
299   0.318599         NaN
300   0.331673    0.290126
301   0.309378         NaN
302   0.306065         NaN
303   0.311698         NaN
304   0.285148         NaN
305   0.323780         NaN
306   0.345678         NaN
307   0.272242         NaN
308   0.330597         NaN
309   0.353378         NaN
310   0.304424         NaN
311   0.305892         NaN
312   0.326798         NaN
313   0.294149         NaN
314   0.321740         NaN
315   0.329570         NaN
316   0.326580         NaN
317   0.315102         NaN
318   0.296808         NaN
319   0.339927         NaN
320   0.344313         NaN
321   0.299280         NaN
322   0.392103         NaN
323   0.453065         NaN
324   0.375685         NaN
325   0.401273         NaN
326   0.385412         NaN
327   0.331713         NaN
328   0.319777         NaN
329   0.359627         NaN
330   0.310656         NaN
331   0.357432         NaN
332   0.331677         NaN
333   0.311513         NaN
334   0.345562         NaN
335   0.420257         NaN
336   0.352016         NaN
337   0.321881         NaN
338   0.324085         NaN
339   0.282627         NaN
340   0.310079         NaN
341   0.348278         NaN
342   0.294104         NaN
343   0.297603         NaN
344   0.322993         NaN
345   0.330208         NaN
346   0.329895         NaN
347   0.288684         NaN
348   0.278876         NaN
349   0.283795         NaN
350   0.279604         NaN
351   0.279449         NaN
352   0.300533         NaN
353   0.292500         NaN
354   0.311462         NaN
355   0.309434         NaN
356   0.288112         NaN
357   0.307684         NaN
358   0.278114         NaN
359   0.295111         NaN
360   0.278514         NaN
361   0.275298         NaN
362   0.292644         NaN
363   0.276032         NaN
364   0.281100         NaN
365   0.278578         NaN
366   0.294601         NaN
367   0.283832         NaN
368   0.287830         NaN
369   0.274117         NaN
370   0.272219         NaN
371   0.293532         NaN
372   0.289187         NaN
373   0.292664         NaN
374   0.287250         NaN
375   0.281709         NaN
376   0.270139         NaN
377   0.248427         NaN
378   0.271856         NaN
379   0.281989         NaN
380   0.269196         NaN
381   0.284910         NaN
382   0.290933         NaN
383   0.281910         NaN
384   0.247081         NaN
385   0.275065         NaN
386   0.283357         NaN
387   0.262436         NaN
388   0.264663         NaN
389   0.268695         NaN
390   0.255465         NaN
391   0.275654         NaN
392   0.245543         NaN
393   0.273559         NaN
394   0.302616         NaN
395   0.271833         NaN
396   0.270377         NaN
397   0.281331         NaN
398   0.275240         NaN
399   0.262056         NaN
400   0.253040    0.265372
401   0.268138         NaN
402   0.258538         NaN
403   0.270235         NaN
404   0.253831         NaN
405   0.254370         NaN
406   0.265329         NaN
407   0.250914         NaN
408   0.247525         NaN
409   0.262340         NaN
410   0.268487         NaN
411   0.263049         NaN
412   0.249220         NaN
413   0.242958         NaN
414   0.252137         NaN
