         Train  Validation
289   7.491860         NaN
290   7.491621         NaN
291   7.499451         NaN
292   7.492667         NaN
293   7.497220         NaN
294   7.501852         NaN
295   7.498966         NaN
296   7.504165         NaN
297   7.494514         NaN
298   7.492008         NaN
299   7.490704         NaN
300   7.497668    7.688852
301   7.494264         NaN
302   7.500545         NaN
303   7.496352         NaN
304   7.502571         NaN
305   7.498874         NaN
306   7.490755         NaN
307   7.490247         NaN
308   7.498150         NaN
309   7.491842         NaN
310   7.496154         NaN
311   7.500397         NaN
312   7.497395         NaN
313   7.503471         NaN
314   7.493968         NaN
315   7.491190         NaN
316   7.489645         NaN
317   7.496016         NaN
318   7.493434         NaN
319   7.499651         NaN
320   7.494485         NaN
321   7.501801         NaN
322   7.497581         NaN
323   7.490345         NaN
324   7.489471         NaN
325   7.496909         NaN
326   7.490326         NaN
327   7.495199         NaN
328   7.499469         NaN
329   7.495929         NaN
330   7.502105         NaN
331   7.492465         NaN
332   7.490303         NaN
333   7.489257         NaN
334   7.494594         NaN
335   7.492146         NaN
336   7.498165         NaN
337   7.493426         NaN
338   7.500837         NaN
339   7.495581         NaN
340   7.489582         NaN
341   7.488855         NaN
342   7.495736         NaN
343   7.489324         NaN
344   7.493925         NaN
345   7.498666         NaN
346   7.494694         NaN
347   7.500593         NaN
348   7.491396         NaN
349   7.489524         NaN
350   7.488907         NaN
351   7.493557         NaN
352   7.491561         NaN
353   7.496691         NaN
354   7.492479         NaN
355   7.499998         NaN
356   7.494220         NaN
357   7.488533         NaN
358   7.488327         NaN
359   7.495002         NaN
360   7.488848         NaN
361   7.493043         NaN
362   7.497118         NaN
363   7.493660         NaN
364   7.499658         NaN
365   7.490824         NaN
366   7.488810         NaN
367   7.487693         NaN
368   7.493253         NaN
369   7.491437         NaN
370   7.495637         NaN
371   7.491577         NaN
372   7.498574         NaN
373   7.493824         NaN
374   7.488657         NaN
375   7.487085         NaN
376   7.493931         NaN
377   7.488569         NaN
378   7.492629         NaN
379   7.496313         NaN
380   7.492764         NaN
381   7.498411         NaN
382   7.490513         NaN
383   7.488242         NaN
384   7.486707         NaN
385   7.492590         NaN
386   7.490953         NaN
387   7.495294         NaN
388   7.491213         NaN
389   7.497555         NaN
390   7.492368         NaN
391   7.488006         NaN
392   7.486626         NaN
393   7.493481         NaN
394   7.488100         NaN
395   7.492718         NaN
396   7.495525         NaN
397   7.492333         NaN
398   7.497591         NaN
399   7.489476         NaN
400   7.487526    7.697139
401   7.486071         NaN
402   7.492197         NaN
403   7.490845         NaN
404   7.494748         NaN
405   7.490921         NaN
406   7.497055         NaN
407   7.491095         NaN
408   7.487187         NaN
409   7.485784         NaN
410   7.492824         NaN
411   7.487642         NaN
412   7.492220         NaN
413   7.495184         NaN
414   7.491703         NaN
415   7.497068         NaN
416   7.488000         NaN
417   7.486463         NaN
418   7.485091         NaN
419   7.491928         NaN
420   7.490248         NaN
421   7.494135         NaN
422   7.490314         NaN
423   7.496640         NaN
424   7.490272         NaN
425   7.486519         NaN
426   7.484925         NaN
427   7.492146         NaN
428   7.487373         NaN
429   7.490935         NaN
430   7.494848         NaN
431   7.491248         NaN
432   7.496349         NaN
433   7.487298         NaN
434   7.485849         NaN
435   7.484509         NaN
436   7.491231         NaN
437   7.489779         NaN
438   7.493233         NaN
439   7.489636         NaN
440   7.496021         NaN
441   7.489581         NaN
442   7.486214         NaN
443   7.484686         NaN
444   7.490977         NaN
445   7.486588         NaN
446   7.490244         NaN
447   7.494627         NaN
448   7.491114         NaN
449   7.495659         NaN
450   7.486784         NaN
451   7.485373         NaN
452   7.484331         NaN
453   7.490829         NaN
454   7.489305         NaN
455   7.492852         NaN
456   7.489057         NaN
457   7.496334         NaN
458   7.489284         NaN
459   7.485620         NaN
460   7.484127         NaN
461   7.490219         NaN
462   7.486640         NaN
463   7.490417         NaN
464   7.493751         NaN
465   7.490619         NaN
466   7.495645         NaN
467   7.486030         NaN
468   7.485064         NaN
469   7.483660         NaN
470   7.489945         NaN
471   7.489360         NaN
472   7.492113         NaN
473   7.488523         NaN
474   7.495644         NaN
475   7.488739         NaN
476   7.484943         NaN
477   7.483676         NaN
478   7.489658         NaN
479   7.486265         NaN
480   7.489965         NaN
481   7.493188         NaN
482   7.489867         NaN
483   7.494992         NaN
484   7.485565         NaN
485   7.484800         NaN
486   7.483022         NaN
487   7.489415         NaN
488   7.488916         NaN
489   7.491339         NaN
490   7.488349         NaN
491   7.495038         NaN
492   7.488085         NaN
493   7.484586         NaN
494   7.483399         NaN
495   7.489702         NaN
496   7.485736         NaN
497   7.489120         NaN
498   7.492639         NaN
499   7.489608         NaN
500   7.494131    7.702099
501   7.485344         NaN
502   7.484082         NaN
503   7.482635         NaN
504   7.489053         NaN
505   7.488445         NaN
506   7.490438         NaN
507   7.488075         NaN
508   7.494444         NaN
509   7.487485         NaN
510   7.484564         NaN
511   7.483078         NaN
512   7.489296         NaN
513   7.485227         NaN
514   7.488153         NaN
515   7.492511         NaN
516   7.489218         NaN
517   7.493322         NaN
