Name: PixelCNN
Factorised: True
Learning rate: 0.001

         Train  Validation
288   0.340032         NaN
289   0.332365         NaN
290   0.363391         NaN
291   0.357168         NaN
292   0.348344         NaN
293   0.353343         NaN
294   0.346862         NaN
295   0.358082         NaN
296   0.324484         NaN
297   0.364629         NaN
298   0.334357         NaN
299   0.343768         NaN
300   0.362632    0.352663
301   0.368198         NaN
302   0.357538         NaN
303   0.360421         NaN
304   0.343714         NaN
305   0.338475         NaN
306   0.347912         NaN
307   0.341518         NaN
308   0.347236         NaN
309   0.349229         NaN
310   0.332716         NaN
311   0.349532         NaN
312   0.356361         NaN
313   0.347128         NaN
314   0.350136         NaN
315   0.333919         NaN
316   0.346702         NaN
317   0.348265         NaN
318   0.333876         NaN
319   0.353058         NaN
320   0.333577         NaN
321   0.344921         NaN
322   0.351143         NaN
323   0.340734         NaN
324   0.340244         NaN
325   0.360020         NaN
326   0.337433         NaN
327   0.347496         NaN
328   0.329331         NaN
329   0.354690         NaN
330   0.339796         NaN
331   0.354026         NaN
332   0.319907         NaN
333   0.350874         NaN
334   0.322117         NaN
335   0.341832         NaN
336   0.349381         NaN
337   0.338391         NaN
338   0.324666         NaN
339   0.321528         NaN
340   0.325858         NaN
341   0.352536         NaN
342   0.327066         NaN
343   0.328532         NaN
344   0.336923         NaN
345   0.339974         NaN
346   0.342571         NaN
347   0.332436         NaN
348   0.319004         NaN
349   0.317505         NaN
350   0.326107         NaN
351   0.318447         NaN
352   0.337597         NaN
353   0.329555         NaN
354   0.345563         NaN
355   0.370410         NaN
356   0.355949         NaN
357   0.347222         NaN
358   0.328120         NaN
359   0.334964         NaN
360   0.337511         NaN
361   0.324442         NaN
362   0.347430         NaN
363   0.326557         NaN
364   0.325936         NaN
365   0.331793         NaN
366   0.334397         NaN
367   0.352927         NaN
368   0.345966         NaN
369   0.344858         NaN
370   0.350836         NaN
371   0.362523         NaN
372   0.354754         NaN
373   0.363299         NaN
374   0.359264         NaN
375   0.332941         NaN
376   0.318415         NaN
377   0.312943         NaN
378   0.345175         NaN
379   0.335849         NaN
380   0.341880         NaN
381   0.339956         NaN
382   0.336585         NaN
383   0.336174         NaN
384   0.311439         NaN
385   0.328472         NaN
386   0.336423         NaN
387   0.313070         NaN
388   0.319492         NaN
389   0.323499         NaN
390   0.316512         NaN
391   0.325254         NaN
392   0.314731         NaN
393   0.323521         NaN
394   0.339874         NaN
395   0.338363         NaN
396   0.327700         NaN
397   0.355895         NaN
398   0.353240         NaN
399   0.319030         NaN
400   0.324103    0.323633
401   0.324245         NaN
402   0.313675         NaN
403   0.326026         NaN
404   0.310992         NaN
405   0.314243         NaN
406   0.333263         NaN
407   0.306217         NaN
408   0.301806         NaN
409   0.316810         NaN
410   0.325839         NaN
411   0.314375         NaN
412   0.309716         NaN
413   0.299387         NaN
414   0.317200         NaN
415   0.308219         NaN
416   0.309489         NaN
417   0.323975         NaN
418   0.313313         NaN
419   0.301633         NaN
420   0.300139         NaN
421   0.306862         NaN
422   0.312123         NaN
423   0.329548         NaN
424   0.302866         NaN
