         Train  Validation
0     7.643949    7.641407
1     7.641441         NaN
2     7.638527         NaN
3     7.635184         NaN
4     7.632254         NaN
5     7.629580         NaN
6     7.625132         NaN
7     7.621271         NaN
8     7.617904         NaN
9     7.614832         NaN
10    7.612246         NaN
11    7.616510         NaN
12    7.612431         NaN
13    7.615901         NaN
14    7.611165         NaN
15    7.613269         NaN
16    7.608727         NaN
17    7.609519         NaN
18    7.607430         NaN
19    7.607790         NaN
20    7.606348         NaN
21    7.606455         NaN
22    7.608742         NaN
23    7.605619         NaN
24    7.607360         NaN
25    7.605340         NaN
26    7.604511         NaN
27    7.601041         NaN
28    7.602833         NaN
29    7.600053         NaN
30    7.604273         NaN
31    7.601189         NaN
32    7.604660         NaN
33    7.599150         NaN
34    7.599743         NaN
35    7.597668         NaN
36    7.597754         NaN
37    7.597169         NaN
38    7.596039         NaN
39    7.599220         NaN
40    7.596875         NaN
41    7.598533         NaN
42    7.593545         NaN
43    7.594281         NaN
44    7.588879         NaN
45    7.593281         NaN
46    7.589751         NaN
47    7.593116         NaN
48    7.590017         NaN
49    7.594670         NaN
50    7.587491         NaN
51    7.587803         NaN
52    7.586014         NaN
53    7.587960         NaN
54    7.586460         NaN
55    7.584671         NaN
56    7.587750         NaN
57    7.586844         NaN
58    7.588419         NaN
59    7.581381         NaN
60    7.583831         NaN
61    7.577988         NaN
62    7.584899         NaN
63    7.579876         NaN
64    7.582872         NaN
65    7.581141         NaN
66    7.583935         NaN
67    7.578689         NaN
68    7.577116         NaN
69    7.575364         NaN
70    7.579903         NaN
71    7.577424         NaN
72    7.576389         NaN
73    7.579319         NaN
74    7.578137         NaN
75    7.579472         NaN
76    7.571559         NaN
77    7.574520         NaN
78    7.568608         NaN
79    7.576621         NaN
80    7.572450         NaN
81    7.574826         NaN
82    7.574607         NaN
83    7.575307         NaN
84    7.571098         NaN
85    7.569222         NaN
86    7.566965         NaN
87    7.571847         NaN
88    7.569372         NaN
89    7.568997         NaN
90    7.572843         NaN
91    7.571435         NaN
92    7.572803         NaN
93    7.564237         NaN
94    7.568051         NaN
95    7.561682         NaN
96    7.569666         NaN
97    7.565592         NaN
98    7.568072         NaN
99    7.568103         NaN
100   7.569229    7.623028
101   7.565487         NaN
102   7.563534         NaN
103   7.560671         NaN
104   7.565617         NaN
105   7.563333         NaN
106   7.562722         NaN
107   7.567134         NaN
108   7.566298         NaN
109   7.567976         NaN
110   7.558757         NaN
111   7.562175         NaN
112   7.556255         NaN
113   7.564930         NaN
114   7.559841         NaN
115   7.562688         NaN
116   7.563300         NaN
117   7.564472         NaN
118   7.560839         NaN
119   7.558697         NaN
120   7.555714         NaN
121   7.560679         NaN
122   7.558851         NaN
123   7.557861         NaN
124   7.563022         NaN
125   7.562302         NaN
126   7.563864         NaN
127   7.554664         NaN
128   7.557323         NaN
129   7.551772         NaN
130   7.560825         NaN
131   7.555792         NaN
132   7.558074         NaN
133   7.559534         NaN
134   7.560776         NaN
135   7.557393         NaN
136   7.554959         NaN
137   7.551767         NaN
138   7.556571         NaN
139   7.554937         NaN
140   7.553437         NaN
141   7.559640         NaN
142   7.558548         NaN
143   7.560666         NaN
144   7.551276         NaN
145   7.553653         NaN
146   7.548355         NaN
147   7.557212         NaN
148   7.551898         NaN
149   7.554147         NaN
150   7.556625         NaN
151   7.557089         NaN
152   7.554566         NaN
153   7.551820         NaN
154   7.548687         NaN
155   7.553442         NaN
156   7.551670         NaN
157   7.549686         NaN
158   7.556876         NaN
159   7.555502         NaN
160   7.557642         NaN
161   7.548459         NaN
162   7.550649         NaN
163   7.545906         NaN
164   7.554436         NaN
165   7.548962         NaN
166   7.551188         NaN
167   7.554235         NaN
168   7.554027         NaN
169   7.552176         NaN
170   7.549109         NaN
171   7.546114         NaN
172   7.551134         NaN
173   7.549299         NaN
174   7.546661         NaN
175   7.554294         NaN
176   7.553173         NaN
177   7.555155         NaN
178   7.546418         NaN
179   7.547876         NaN
180   7.544174         NaN
181   7.552203         NaN
182   7.546328         NaN
183   7.548526         NaN
184   7.551479         NaN
185   7.551598         NaN
186   7.550517         NaN
187   7.547224         NaN
188   7.543732         NaN
189   7.549391         NaN
190   7.546884         NaN
191   7.544290         NaN
192   7.551702         NaN
193   7.550847         NaN
194   7.553260         NaN
195   7.544909         NaN
196   7.545706         NaN
197   7.542086         NaN
198   7.550262         NaN
199   7.544390         NaN
200   7.546840    7.637298
201   7.549375         NaN
202   7.549320         NaN
203   7.549103         NaN
204   7.545770         NaN
205   7.541852         NaN
206   7.547623         NaN
207   7.545115         NaN
208   7.542856         NaN
209   7.550068         NaN
210   7.548926         NaN
211   7.551491         NaN
212   7.543810         NaN
213   7.544349         NaN
214   7.540742         NaN
215   7.548448         NaN
216   7.542955         NaN
217   7.545770         NaN
218   7.547675         NaN
219   7.547256         NaN
220   7.547600         NaN
221   7.545005         NaN
222   7.540145         NaN
223   7.545714         NaN
224   7.543379         NaN
225   7.541541         NaN
226   7.548975         NaN
227   7.548120         NaN
228   7.549335         NaN
229   7.541672         NaN
230   7.543198         NaN
231   7.539199         NaN
232   7.547163         NaN
233   7.541054         NaN
234   7.544081         NaN
235   7.547021         NaN
236   7.546222         NaN
237   7.545632         NaN
238   7.542488         NaN
239   7.538511         NaN
240   7.544666         NaN
241   7.541958         NaN
242   7.539552         NaN
243   7.546808         NaN
244   7.547438         NaN
245   7.548476         NaN
246   7.539128         NaN
247   7.540982         NaN
248   7.537737         NaN
249   7.546088         NaN
250   7.539654         NaN
251   7.541751         NaN
252   7.544739         NaN
253   7.545027         NaN
254   7.545005         NaN
255   7.540598         NaN
256   7.537113         NaN
257   7.543083         NaN
258   7.540684         NaN
259   7.538342         NaN
260   7.544691         NaN
261   7.545636         NaN
262   7.547234         NaN
263   7.538113         NaN
264   7.540110         NaN
265   7.536834         NaN
266   7.544452         NaN
267   7.538200         NaN
268   7.540331         NaN
269   7.543358         NaN
270   7.543494         NaN
271   7.543900         NaN
272   7.539674         NaN
273   7.536800         NaN
274   7.542146         NaN
275   7.539150         NaN
276   7.536996         NaN
277   7.543190         NaN
278   7.544143         NaN
279   7.546233         NaN
280   7.537007         NaN
281   7.539322         NaN
282   7.536432         NaN
283   7.543691         NaN
284   7.536870         NaN
285   7.538954         NaN
286   7.541927         NaN
287   7.542614         NaN
288   7.543014         NaN
289   7.539164         NaN
290   7.535671         NaN
291   7.541491         NaN
292   7.538334         NaN
293   7.536194         NaN
294   7.541860         NaN
295   7.542967         NaN
296   7.545365         NaN
297   7.536660         NaN
298   7.538796         NaN
299   7.535195         NaN
300   7.542881    7.644546
301   7.536190         NaN
302   7.538371         NaN
303   7.540679         NaN
304   7.541356         NaN
305   7.542235         NaN
