         Train  Validation
0     7.643867    7.643630
1     7.643590         NaN
2     7.643254         NaN
3     7.642950         NaN
4     7.642699         NaN
5     7.642509         NaN
6     7.642149         NaN
7     7.641882         NaN
8     7.641482         NaN
9     7.641189         NaN
10    7.640692         NaN
11    7.640495         NaN
12    7.640114         NaN
13    7.639994         NaN
14    7.639549         NaN
15    7.639514         NaN
16    7.638759         NaN
17    7.638502         NaN
18    7.637952         NaN
19    7.637568         NaN
20    7.637065         NaN
21    7.636853         NaN
22    7.636634         NaN
23    7.636048         NaN
24    7.635513         NaN
25    7.634927         NaN
26    7.634630         NaN
27    7.633459         NaN
28    7.633142         NaN
29    7.632381         NaN
30    7.632205         NaN
31    7.631435         NaN
32    7.631201         NaN
33    7.629457         NaN
34    7.629384         NaN
35    7.628001         NaN
36    7.627093         NaN
37    7.625957         NaN
38    7.625384         NaN
39    7.624854         NaN
40    7.623691         NaN
41    7.621873         NaN
42    7.620681         NaN
43    7.620344         NaN
44    7.617268         NaN
45    7.616238         NaN
46    7.614570         NaN
47    7.613692         NaN
48    7.612472         NaN
49    7.610933         NaN
50    7.606749         NaN
51    7.606856         NaN
52    7.603310         NaN
53    7.600884         NaN
54    7.597985         NaN
55    7.596413         NaN
56    7.595261         NaN
57    7.593052         NaN
58    7.587554         NaN
59    7.584929         NaN
60    7.584983         NaN
61    7.577368         NaN
62    7.574675         NaN
63    7.571595         NaN
64    7.569391         NaN
65    7.568695         NaN
66    7.564022         NaN
67    7.555521         NaN
68    7.557090         NaN
69    7.549970         NaN
70    7.545652         NaN
71    7.540356         NaN
72    7.538836         NaN
73    7.538791         NaN
74    7.537202         NaN
75    7.526488         NaN
76    7.523635         NaN
77    7.527776         NaN
78    7.514933         NaN
79    7.512354         NaN
80    7.510672         NaN
81    7.510206         NaN
82    7.515425         NaN
83    7.508773         NaN
84    7.498438         NaN
85    7.505885         NaN
86    7.497801         NaN
87    7.495062         NaN
88    7.490139         NaN
89    7.492504         NaN
90    7.497363         NaN
91    7.498598         NaN
92    7.485717         NaN
93    7.484189         NaN
94    7.492913         NaN
95    7.477698         NaN
96    7.476113         NaN
97    7.475591         NaN
98    7.477005         NaN
99    7.484831         NaN
100   7.476893    7.475133
101   7.466238         NaN
102   7.474660         NaN
103   7.465835         NaN
104   7.462916         NaN
105   7.457676         NaN
106   7.460336         NaN
107   7.465448         NaN
108   7.466609         NaN
109   7.453980         NaN
110   7.452159         NaN
111   7.460822         NaN
112   7.445420         NaN
113   7.443875         NaN
114   7.443219         NaN
115   7.445051         NaN
116   7.452867         NaN
117   7.444687         NaN
118   7.433870         NaN
119   7.442644         NaN
120   7.433322         NaN
121   7.429993         NaN
122   7.424499         NaN
123   7.427246         NaN
124   7.432353         NaN
125   7.433764         NaN
126   7.420270         NaN
127   7.418322         NaN
128   7.427577         NaN
129   7.411098         NaN
130   7.409274         NaN
131   7.408670         NaN
132   7.410604         NaN
133   7.418871         NaN
134   7.410064         NaN
135   7.398699         NaN
136   7.408223         NaN
137   7.398358         NaN
138   7.394734         NaN
139   7.389078         NaN
140   7.392097         NaN
141   7.397228         NaN
142   7.398884         NaN
143   7.384871         NaN
144   7.382910         NaN
145   7.392756         NaN
146   7.375526         NaN
147   7.373670         NaN
148   7.373246         NaN
149   7.375392         NaN
150   7.383828         NaN
151   7.374719         NaN
152   7.363094         NaN
153   7.373239         NaN
154   7.362951         NaN
155   7.359246         NaN
156   7.353548         NaN
157   7.356757         NaN
158   7.362004         NaN
159   7.363566         NaN
160   7.349314         NaN
161   7.347328         NaN
162   7.357516         NaN
163   7.339494         NaN
164   7.337685         NaN
165   7.337332         NaN
166   7.339510         NaN
167   7.347651         NaN
168   7.338278         NaN
169   7.326077         NaN
170   7.336583         NaN
171   7.325569         NaN
172   7.321562         NaN
173   7.315565         NaN
174   7.318422         NaN
175   7.323544         NaN
176   7.324149         NaN
177   7.309414         NaN
178   7.307336         NaN
179   7.316800         NaN
180   7.297671         NaN
181   7.295667         NaN
182   7.294693         NaN
183   7.296284         NaN
184   7.302911         NaN
185   7.293073         NaN
186   7.279716         NaN
187   7.289747         NaN
188   7.277411         NaN
189   7.272515         NaN
190   7.265680         NaN
191   7.267048         NaN
192   7.271114         NaN
193   7.269495         NaN
194   7.253967         NaN
195   7.251420         NaN
196   7.258476         NaN
197   7.237938         NaN
198   7.235517         NaN
199   7.232843         NaN
200   7.233188    7.231085
201   7.236439         NaN
202   7.226360         NaN
203   7.211422         NaN
204   7.220010         NaN
205   7.206069         NaN
206   7.199855         NaN
207   7.192070         NaN
208   7.191360         NaN
209   7.193694         NaN
210   7.189391         NaN
211   7.173627         NaN
212   7.171004         NaN
213   7.174804         NaN
214   7.153615         NaN
215   7.151484         NaN
216   7.146817         NaN
217   7.146433         NaN
218   7.145753         NaN
219   7.136978         NaN
220   7.121414         NaN
221   7.128486         NaN
222   7.114258         NaN
223   7.107475         NaN
224   7.099738         NaN
225   7.097764         NaN
226   7.098790         NaN
227   7.093189         NaN
228   7.078752         NaN
229   7.077021         NaN
230   7.078028         NaN
231   7.058093         NaN
232   7.057375         NaN
233   7.051084         NaN
234   7.051199         NaN
235   7.047575         NaN
236   7.041898         NaN
237   7.027317         NaN
238   7.033287         NaN
239   7.020514         NaN
240   7.013886         NaN
241   7.007085         NaN
242   7.005006         NaN
243   7.005180         NaN
244   7.000053         NaN
245   6.988068         NaN
246   6.987675         NaN
247   6.987099         NaN
248   6.970028         NaN
249   6.970963         NaN
250   6.963808         NaN
251   6.964951         NaN
252   6.959869         NaN
253   6.957577         NaN
254   6.944944         NaN
255   6.950264         NaN
256   6.939978         NaN
257   6.933867         NaN
258   6.928536         NaN
259   6.927173         NaN
260   6.926329         NaN
261   6.923163         NaN
262   6.913600         NaN
263   6.914621         NaN
264   6.913447         NaN
265   6.899605         NaN
266   6.901728         NaN
267   6.894890         NaN
268   6.897011         NaN
269   6.891435         NaN
270   6.892082         NaN
271   6.881613         NaN
272   6.886547         NaN
273   6.878922         NaN
274   6.873598         NaN
275   6.869845         NaN
276   6.869837         NaN
277   6.867586         NaN
278   6.866858         NaN
279   6.859208         NaN
280   6.861582         NaN
281   6.860433         NaN
282   6.849159         NaN
283   6.852373         NaN
284   6.846543         NaN
285   6.849281         NaN
286   6.843385         NaN
287   6.846165         NaN
288   6.837527         NaN
289   6.842048         NaN
290   6.836800         NaN
291   6.832468         NaN
292   6.829882         NaN
293   6.830994         NaN
294   6.827806         NaN
295   6.828327         NaN
296   6.822402         NaN
297   6.825817         NaN
298   6.824861         NaN
299   6.815540         NaN
300   6.819621    6.818336
301   6.814492         NaN
302   6.817394         NaN
303   6.811418         NaN
304   6.815497         NaN
305   6.808084         NaN
306   6.812466         NaN
307   6.808784         NaN
308   6.805415         NaN
309   6.803486         NaN
