<pixelCNNMADE.PixelCNNMADE object at 0x7f19f72cbbe0>
         Train  Validation
287   0.335964         NaN
288   0.340819         NaN
289   0.348888         NaN
290   0.359842         NaN
291   0.336445         NaN
292   0.343106         NaN
293   0.332312         NaN
294   0.316382         NaN
295   0.383725         NaN
296   0.362480         NaN
297   0.369346         NaN
298   0.312991         NaN
299   0.314671         NaN
300   0.332927    0.341197
301   0.365876         NaN
302   0.366720         NaN
303   0.362809         NaN
304   0.341003         NaN
305   0.358474         NaN
306   0.367202         NaN
307   0.308561         NaN
308   0.327820         NaN
309   0.328518         NaN
310   0.330916         NaN
311   0.318299         NaN
312   0.398618         NaN
313   0.386868         NaN
314   0.355949         NaN
315   0.332011         NaN
316   0.336288         NaN
317   0.369344         NaN
318   0.326636         NaN
319   0.335301         NaN
320   0.318116         NaN
321   0.332093         NaN
322   0.328021         NaN
323   0.344262         NaN
324   0.353300         NaN
325   0.341743         NaN
326   0.322324         NaN
327   0.307564         NaN
328   0.296525         NaN
329   0.349542         NaN
330   0.314397         NaN
331   0.349921         NaN
332   0.314338         NaN
333   0.309994         NaN
334   0.284865         NaN
335   0.313697         NaN
336   0.327588         NaN
337   0.341264         NaN
338   0.317454         NaN
339   0.294288         NaN
340   0.301863         NaN
341   0.318312         NaN
342   0.287893         NaN
343   0.322494         NaN
344   0.337576         NaN
345   0.324078         NaN
346   0.331715         NaN
347   0.309841         NaN
348   0.300680         NaN
349   0.287681         NaN
350   0.291730         NaN
351   0.283347         NaN
352   0.307368         NaN
353   0.290098         NaN
354   0.311387         NaN
355   0.312740         NaN
356   0.305040         NaN
357   0.314524         NaN
358   0.293040         NaN
359   0.301817         NaN
360   0.313152         NaN
361   0.317652         NaN
362   0.309783         NaN
363   0.326437         NaN
364   0.348330         NaN
365   0.301976         NaN
366   0.322114         NaN
367   0.302819         NaN
368   0.301470         NaN
369   0.297226         NaN
370   0.282969         NaN
371   0.315233         NaN
372   0.318420         NaN
373   0.307400         NaN
374   0.311466         NaN
375   0.298559         NaN
376   0.276265         NaN
377   0.266545         NaN
378   0.300940         NaN
379   0.290784         NaN
380   0.295199         NaN
381   0.290195         NaN
382   0.302520         NaN
383   0.296326         NaN
384   0.262760         NaN
385   0.286112         NaN
386   0.300996         NaN
387   0.270602         NaN
388   0.274581         NaN
389   0.276137         NaN
390   0.278544         NaN
391   0.286117         NaN
392   0.281794         NaN
393   0.301887         NaN
394   0.323526         NaN
395   0.296035         NaN
396   0.318472         NaN
397   0.324852         NaN
398   0.297409         NaN
399   0.276200         NaN
400   0.291471    0.289528
401   0.294136         NaN
402   0.286148         NaN
403   0.305552         NaN
404   0.265474         NaN
405   0.263936         NaN
406   0.308815         NaN
407   0.276920         NaN
408   0.275002         NaN
409   0.287057         NaN
410   0.307568         NaN
411   0.289120         NaN
412   0.273251         NaN
413   0.275492         NaN
414   0.271642         NaN
415   0.269239         NaN
416   0.258480         NaN
417   0.286682         NaN
418   0.298721         NaN
419   0.278682         NaN
420   0.266012         NaN
421   0.274758         NaN
422   0.297011         NaN
423   0.305605         NaN
424   0.271949         NaN
425   0.280332         NaN
426   0.274135         NaN
427   0.275719         NaN
428   0.269139         NaN
429   0.274584         NaN
430   0.272535         NaN
431   0.268433         NaN
432   0.286363         NaN
433   0.273415         NaN
434   0.279002         NaN
435   0.257222         NaN
436   0.287562         NaN
437   0.273438         NaN
438   0.260334         NaN
439   0.277358         NaN
440   0.262181         NaN
441   0.266654         NaN
442   0.282087         NaN
443   0.291473         NaN
444   0.256655         NaN
445   0.271445         NaN
446   0.299551         NaN
447   0.288301         NaN
448   0.268162         NaN
449   0.278359         NaN
450   0.263938         NaN
451   0.259392         NaN
452   0.266332         NaN
453   0.275345         NaN
454   0.278610         NaN
455   0.259354         NaN
456   0.265316         NaN
457   0.269582         NaN
458   0.256842         NaN
459   0.266428         NaN
460   0.275905         NaN
461   0.283782         NaN
462   0.274575         NaN
463   0.273526         NaN
464   0.271935         NaN
465   0.264101         NaN
466   0.258135         NaN
467   0.243644         NaN
468   0.272626         NaN
469   0.267265         NaN
470   0.267169         NaN
471   0.261762         NaN
472   0.249669         NaN
473   0.251311         NaN
474   0.258763         NaN
475   0.262056         NaN
476   0.257108         NaN
477   0.273136         NaN
478   0.261726         NaN
479   0.254793         NaN
480   0.251693         NaN
481   0.253852         NaN
482   0.294454         NaN
483   0.286861         NaN
484   0.257660         NaN
485   0.268377         NaN
486   0.276051         NaN
487   0.260667         NaN
488   0.259008         NaN
489   0.263158         NaN
490   0.258052         NaN
491   0.263087         NaN
492   0.281426         NaN
493   0.287888         NaN
494   0.251665         NaN
495   0.261284         NaN
496   0.294050         NaN
497   0.256701         NaN
498   0.269502         NaN
499   0.253728         NaN
500   0.257099    0.258044
501   0.245856         NaN
502   0.276896         NaN
503   0.239636         NaN
504   0.265627         NaN
505   0.249382         NaN
506   0.276806         NaN
507   0.277241         NaN
508   0.283872         NaN
509   0.261589         NaN
510   0.247471         NaN
511   0.250666         NaN
512   0.249176         NaN
513   0.272099         NaN
514   0.242699         NaN
515   0.260381         NaN
516   0.253710         NaN
517   0.253841         NaN
518   0.256119         NaN
519   0.251465         NaN
520   0.263920         NaN
521   0.235853         NaN
522   0.241299         NaN
523   0.252962         NaN
524   0.245796         NaN
525   0.249214         NaN
526   0.246371         NaN
527   0.259143         NaN
528   0.240131         NaN
529   0.219209         NaN
530   0.235384         NaN
531   0.238455         NaN
532   0.248987         NaN
533   0.238348         NaN
534   0.247066         NaN
535   0.225736         NaN
536   0.240510         NaN
537   0.239750         NaN
538   0.244669         NaN
539   0.233495         NaN
540   0.239842         NaN
541   0.244793         NaN
542   0.246023         NaN
543   0.244157         NaN
544   0.235791         NaN
545   0.230030         NaN
546   0.241858         NaN
547   0.228112         NaN
548   0.221823         NaN
549   0.226959         NaN
550   0.241215         NaN
551   0.210239         NaN
552   0.249011         NaN
553   0.240838         NaN
554   0.250952         NaN
555   0.261113         NaN
556   0.234059         NaN
557   0.232058         NaN
558   0.229867         NaN
559   0.249126         NaN
560   0.233130         NaN
561   0.222460         NaN
